50 	0.491
51 	0.428
52 	0.455
53 	0.507
54 	0.521
55 	0.577
56 	0.617
57 	0.659
58 	0.686
59 	0.737
60 	0.796
61 	0.852
62 	0.922
63 	0.963
64 	1.035
65 	1.067
66 	1.173
67 	1.241
68 	1.298
69 	1.373
70 	1.483
71 	1.535
72 	1.639
73 	1.7
74 	1.79
75 	1.927
76 	2.012
77 	2.098
78 	2.223
79 	2.362
80 	2.422
81 	2.59
82 	2.693
83 	2.83
84 	2.998
85 	3.353
86 	3.232
87 	3.443
88 	3.578
89 	3.72
90 	3.822
91 	4.086
92 	4.224
93 	4.439
94 	4.671
95 	4.818
96 	5.076
97 	5.234
98 	5.44
99 	5.681
100 	5.879
101 	6.181
102 	6.342
103 	6.683
104 	6.92
105 	7.159
106 	7.582
107 	7.86
108 	8.084
109 	8.446
110 	8.896
111 	9.223
112 	9.606
113 	9.765
114 	10.183
115 	10.514
116 	10.856
117 	11.208
118 	11.69
119 	12.684
120 	12.513
121 	12.984
122 	13.49
123 	13.756
124 	14.208
125 	14.432
126 	15.096
127 	15.531
128 	15.982
129 	16.561
130 	17.009
131 	17.331
132 	17.783
133 	18.402
134 	18.848
135 	19.548
136 	20.522
137 	20.934
138 	21.536
139 	22.51
140 	22.895
141 	23.51
142 	24.173
143 	24.855
144 	25.354
145 	26.585
146 	27.247
147 	27.677
148 	28.13
149 	29.194
150 	30.021
151 	30.227
152 	31.108
153 	32.016
154 	33.21
155 	33.74
156 	34.442
157 	35.429
158 	36.796
159 	37.338
160 	38.126
161 	39.083
162 	40.21
163 	41.051
164 	42.438
165 	43.087
166 	44.941
167 	45.269
168 	46.175
169 	47.453
170 	48.219
171 	49.734
172 	51.179
173 	52.257
174 	53.421
175 	54.611
176 	55.843
177 	56.798
178 	58.864
179 	59.408
180 	61.018
181 	62.262
182 	63.395
183 	64.721
184 	66.134
185 	68.154
186 	69.512
187 	71.228
188 	72.378
189 	73.896
190 	75.893
191 	77.719
192 	78.437
193 	80.593
194 	82.377
195 	84.513
196 	85.731
197 	87.78
198 	88.715
199 	91.016
200 	93.078
201 	94.944
202 	96.816
203 	98.426
204 	100.595
205 	102.082
206 	104.396
207 	106.284
208 	109.462
209 	110.699
210 	112.736
211 	114.85
212 	117.123
213 	119.519
214 	121.052
215 	123.568
216 	125.625
217 	128.253
218 	130.765
219 	132.92
220 	135.167
221 	136.951
222 	142.007
223 	144.482
224 	147.49
225 	151.722
226 	154.397
227 	156.941
228 	158.383
229 	159.476
230 	162.741
231 	166.777
232 	171.037
233 	174.102
234 	175.237
235 	176.646
236 	182.39
237 	182.475
238 	187.647
239 	190.851
240 	192.91
241 	196.36
242 	197.392
243 	200.85
244 	205.266
245 	209.209
246 	211.462
247 	215.539
248 	219.813
249 	222.464
250 	236.917
251 	238.772
252 	242.78
253 	247.202
254 	249.317
255 	245.758
256 	259.784
257 	255.278
258 	256.828
259 	263.548
260 	263.537
261 	268.454
262 	276.158
263 	277.84
264 	280.18
265 	284.43
266 	300.21
267 	298.55
268 	298.55
269 	300.86
270 	314.41
271 	313.97
272 	315.13
273 	326.25
274 	334.11
275 	334.82
276 	341.8
277 	346.13
278 	343.54
279 	356.72
280 	360.41
281 	364.13
282 	369.42
283 	377.79
284 	382.28
285 	385.72
286 	392.64
287 	395.65
288 	399.59
289 	409.97
290 	413.46
291 	423.95
292 	437.44
293 	445.66
294 	440.24
295 	446.02
296 	450.67
297 	460.89
298 	467.84
299 	471.39
